,Estimate your total available addressable market size: [log10.1],How much revenue does your startup currently make per month? [log10.1],No of Users [log10.1],No of Payers [log10.1],Payers / Users,user growth / month [log10.1],Payer growth / month [log10.1],User growth / 6 months [log10.1],Payer growth / 6 months [log10.1],Churn rate - User,Churn rate - Payer,Activation,Retention,Total activation [log10.1],Product Development [Team Focus],50/50 [Team Focus],Customer Development & Acquisition [Team Focus],Other [Team Focus],Subscription [Primary revenue stream],Transaction Fee [Primary revenue stream],Advertising [Primary revenue stream],License Fee [Primary revenue stream],Virtual Goods [Primary revenue stream],Lead Generation [Primary revenue stream],Ownership [Primary revenue stream],Other [Primary revenue stream],Consulting [Primary revenue stream],Data [Primary revenue stream],Listing Fee [Primary revenue stream],Hardware [Primary revenue stream],Sponsorship [Primary revenue stream],Rental [Primary revenue stream],Building Product [Biggest Challenge],Customer Acquisition [Biggest Challenge],Funding [Biggest Challenge],Building The Team [Biggest Challenge],Business Model [Biggest Challenge],Over Capacity / Too Much To Do [Biggest Challenge],Minimum Viable Product [Biggest Challenge],Product Market Fit [Biggest Challenge],Critical Mass [Biggest Challenge],N/A [Biggest Challenge],Staying Focused & Disciplined [Biggest Challenge],Revenue [Biggest Challenge],Problem Solution Fit [Biggest Challenge],Scaling [Biggest Challenge],Leadership & Team Alignment [Biggest Challenge],Partnership [Biggest Challenge],Legal [Biggest Challenge],Regulations [Biggest Challenge]
Estimate your total available addressable market size: [log10.1],1.0,0.09977324372827284,0.07572924975945947,0.028467158305531214,0.006238192254594835,0.056516745965782315,0.04243461562579562,0.0794510799390814,0.03452698611004517,-0.0014574532922545778,-0.009070778055355937,0.05259660215727282,0.044278584491206474,0.07194391930933919,0.043701554782555434,0.020887438442627308,-0.05052875838170079,-0.007849916374549732,-0.029471404440012065,0.11265665776290631,-0.020565199270464997,-0.015667372978130697,0.00938882954228077,0.05767096769996082,-0.036383962166380984,-0.01238037823535106,-0.05549715281242589,0.015663415890667942,-0.0014026311305834441,-0.005438038373849338,-0.022114146159601507,-0.02198245708100895,0.004745678826238229,-0.02461847352551471,0.08457548260950161,0.06484382976440338,-0.030313348018431847,-0.00014107200433896512,-0.001846385308356855,-0.011083585018631888,0.021418367139624507,-0.08605347446754046,-0.031886312577691436,-0.005961216264760541,-0.009590125962013077,0.024486483797452534,-0.0015157421803720418,0.011041890053636478,0.017589037306180385,0.005214930268400055
How much revenue does your startup currently make per month? [log10.1],0.09977324372827284,1.0,0.15530831359349656,0.22015351170659822,0.19629038136524415,-0.0551784476374333,-0.05551658186973437,-0.05625326182931206,-0.03241877674845107,-0.06893612190124628,-0.023635500201105594,0.012814909528947543,0.05162826133819166,0.090347004468405,-0.026593331646436427,0.0038280564640048166,0.011328100991583741,0.030122202394947287,0.009629924460032366,-0.014923736845592424,-0.024418974042444017,0.06714446034843348,-0.03334474268932745,-0.027719419282116325,-0.008354799313660458,0.013349887372857194,0.008289519940446088,-0.007763396036617412,-0.01276008413677608,0.012601079103667404,-0.013412069958582169,-0.016989060590618475,-0.03965531177824188,-0.02594862576614802,-0.016620454834055217,0.04219740829305843,-0.010816247141271712,0.037726613024831955,-0.020290911637780504,-0.01026763136244393,-0.0023654218069082606,0.0027217458645243642,-0.014919341454513603,0.039424056152671416,-0.01709521990933169,0.10226274506123424,0.012835922713807724,0.018021238772686257,-0.003469076656304228,-0.0013597119290633891
No of Users [log10.1],0.07572924975945947,0.15530831359349656,1.0,0.6675178921147382,-0.01010227624165861,0.020845585793568676,-0.0065593440004239716,0.07815799125162266,0.025098641240005885,0.08644767387482012,0.04376413970622123,0.11424478369661022,0.084772101515145,0.31734847619761886,-0.08598136487598916,0.0656485729301246,0.059822239140615775,-0.02171910842442268,0.005066400252484848,-0.032434860493054336,0.03603889523229166,-0.016469762250500466,0.025565396367517458,0.06432904425269492,-0.007062145148399574,-0.012188461585471065,-0.026947247936764965,-0.021462051507279107,0.0050650762580787285,-0.03388101343191525,0.017934422460799043,-0.02185814260847192,-0.1415331453182323,0.14222166316391602,-0.01248168043700851,-0.053344633678964935,-0.03707148933788479,0.06480331710702827,-0.10672796127161163,0.02770143817073424,0.13562874874026684,-0.011436099312774,-0.036597750939305396,0.12090348665472382,-0.052541634652201546,0.11684066161434449,0.01914023418869348,-0.026450126180205993,-0.018598755814554984,0.005327016859910694
No of Payers [log10.1],0.028467158305531214,0.22015351170659822,0.6675178921147382,1.0,0.28562728694891787,-0.04549946753509505,-0.00545033023764317,-0.03200669174519656,0.03030991277172011,0.021648749931054437,0.08760468204640494,0.024313270388741016,0.04896245674582634,0.24444640950332128,-0.14504813464840605,0.07220355921167482,0.09160986614926885,0.006419940501894549,0.01956535951079042,0.006061211771535312,-0.08549551419246934,-0.00778578698298085,0.02896866424331121,0.008040145793619394,0.040204710907335066,0.019807740689217323,0.004047624527462728,-0.044146447785774735,-0.020710503434596537,0.0064439344990303,-0.037469856616746504,0.014465122628729248,-0.13766476056780586,0.13719707583037807,-0.027984800909995024,-0.04101402473543976,-0.040086937744949536,0.08214985028072677,-0.10444470447855878,-0.0025033956421550378,0.07247778999490674,0.0018544851179487648,-0.02950616903222945,0.12058445569073518,-0.06702761557439578,0.12803583894963808,0.006918034926134529,-0.010303739422527856,-0.02239337051053761,0.02790304511394201
Payers / Users,0.006238192254594835,0.19629038136524415,-0.01010227624165861,0.28562728694891787,1.0,-0.0632310242688462,-0.007874870604079123,-0.10418157521834606,-0.013346203533356686,-0.1431508425172297,-0.0004861285532098345,0.08000098411763426,0.11682472222080524,0.08854698427655262,-0.07004465790051508,0.06640037315758604,0.036852033088666615,0.03313350366684531,0.03863398116891581,-0.007099798517966943,-0.11331322440518735,0.11290963046042253,-0.043308848628173566,-0.054524247061810645,0.03806301654740375,0.04470754944122887,0.06333090440315854,-0.019292327296916618,-0.04705128554850811,0.054723057636465684,-0.045998475267473186,0.054517502837327675,-0.055002783826719436,0.10908487265799613,0.004523885067210461,-0.012655393972707879,-0.016776562373052046,0.05798222170392775,-0.02505933425838374,-0.03881348654242475,-0.013403653330270226,-0.055497424088238156,0.016864399066439,0.020384132339970936,-0.03529963630491986,0.09171118629370419,-0.005184594851737393,0.020947892835526886,0.0035572119425932988,0.008565216573532798
user growth / month [log10.1],0.056516745965782315,-0.0551784476374333,0.020845585793568676,-0.04549946753509505,-0.0632310242688462,1.0,0.40142407493235344,0.6396630911313368,0.24532686444867274,0.032346059219253986,0.018360658279765053,0.08474183641697962,0.06575484591310583,0.0015645285682513907,0.023479180567824557,-0.008965538214559995,-0.006256112184509708,-0.005633033820032472,-0.006048265238638607,0.004030516777131812,0.009683827975372107,-0.016672008376059682,0.03131155334898646,0.01703179881268626,0.007525990525755698,-0.012694697081717566,-0.014132452545961845,0.00712321574991348,0.004375453834499578,-0.016645528990223084,0.011975591076329964,0.0009922560214739827,0.01876704887161291,-0.030420376690144267,0.015098334957565778,0.012269294463318123,-0.00827978999573299,0.002772982545464937,0.01077801923234326,0.02678986134599868,0.009126518688938557,0.013580144791952563,-0.00841045109737711,-0.028432006969835204,0.015142616543170782,-0.03154400957845329,-0.01068685160510387,-0.009976744980044774,0.007683669105617227,0.015366904436115839
Payer growth / month [log10.1],0.04243461562579562,-0.05551658186973437,-0.0065593440004239716,-0.00545033023764317,-0.007874870604079123,0.40142407493235344,1.0,0.32309459097172266,0.5570254292550617,0.014979305410910892,0.013690423072203835,0.05718966015454827,0.05632612639217932,-0.008006112216709193,0.019921275298228028,-0.002129019210468767,-0.017854461163489245,0.008052461847834244,-0.004778297980808018,0.022856578310849727,-0.01994806695075648,-0.01622349565248074,0.016097624456945982,0.010667712201218036,0.0029227026271363148,-0.0026972668071244435,-0.01111362199494234,0.010864703880197961,0.012205001017099374,-0.0028608793405366733,-0.0018267767102621963,0.006666658403574016,-0.002138584083582383,-0.018472540464121102,0.015788557830853447,-0.003189163662917314,0.010174372437915151,0.00614214279677003,0.026061072568696726,0.020876747674005516,-0.022266183556940173,0.005177307130869057,-0.007391541672917874,-0.014416570902924355,0.006259144466524809,-0.011900789164258312,-0.011696686063630505,-0.0022565628785075694,0.0025229915923980196,0.011749039296842808
User growth / 6 months [log10.1],0.0794510799390814,-0.05625326182931206,0.07815799125162266,-0.03200669174519656,-0.10418157521834606,0.6396630911313368,0.32309459097172266,1.0,0.4151614358750635,0.09479790662517715,0.028917543150093258,0.07170768073762511,0.05647944597926749,0.08325917488368778,0.03502708978083323,0.016795404212576092,-0.021227220634553064,-0.028211378334847513,-0.0036662986318435993,0.027328287639124663,0.022430196980835333,-0.03674780693055666,0.031114305960421928,0.03728777933250363,-0.010394929906013133,-0.00913313779874812,-0.026010080556892155,-0.004752969102642178,0.007836887429282948,-0.01871584066161508,0.03854123651040275,-0.026428654975002963,0.009025596593788517,-0.007344013365613875,0.03239533352335665,-0.0007909544798591757,-0.0072325457625782375,0.016764432920482183,0.018254908194489244,0.03633499751603778,0.028740360023787423,-0.015344084718990103,-0.014428805402066425,-0.02604642262220031,0.010167509814843984,-0.02787485658538119,-0.014447919151366851,-0.019451940628576265,0.0012211048326127279,7.305371989848773e-05
Payer growth / 6 months [log10.1],0.03452698611004517,-0.03241877674845107,0.025098641240005885,0.03030991277172011,-0.013346203533356686,0.24532686444867274,0.5570254292550617,0.4151614358750635,1.0,0.05233766006666355,0.04389946773458947,0.029722903933885814,0.02826736721006118,0.03230252857379093,0.004513200033895546,0.010865806254782581,-0.015604176950616482,-0.008878768325983246,-0.002833243537248308,0.03577350286041898,-0.0157707894690726,-0.036166205754740305,0.012400253486910732,0.027687163231229165,-0.006342208152822962,-0.008701631527580193,-0.028929142225723653,-0.008870015458654377,0.008571222066580213,0.005638407709774456,0.017923468124727098,-0.00019224565940821576,-0.003730670897395908,-0.00979280985703784,0.022941692814382842,-0.023643184763579114,-0.009404771360380534,0.025298792674058476,0.020849252111833316,0.012672888817848237,-0.010826364388378773,0.009539093810024117,-0.0072319482226383455,-0.010864042414146275,0.009321621119891606,-0.017865792301231694,-0.009561610554927918,-0.015355969407816519,0.0024438122259686167,0.0002525136262231386
Churn rate - User,-0.0014574532922545778,-0.06893612190124628,0.08644767387482012,0.021648749931054437,-0.1431508425172297,0.032346059219253986,0.014979305410910892,0.09479790662517715,0.05233766006666355,1.0,0.36482575458266386,0.002814130214523774,-0.03960548638352409,0.14496059034219952,0.035195668744258723,-0.006402881974042087,-0.028449629620896043,-0.02001122091635989,-0.04321556435390819,0.017326014117423218,0.045191124747797504,-0.03486656151021672,0.04892900771023503,0.04180931600548754,0.008090457587468708,0.004452098317064621,-0.0280052701450458,0.007794281974863958,0.01954671500560372,-0.03854655232447426,0.00896479247685474,-0.010876059232707055,-0.00734560610278895,0.0013137734321747464,-0.026979684230491494,-0.010903047234599079,0.010976049494021914,-0.019832158580818816,-0.014861314075646347,0.06253288301726194,0.04320786320299277,0.0037295930322933314,-0.004395377945666805,0.015793792279598994,0.010399967406932513,-0.0054417522557103516,0.005838821747149285,-0.006896750493781194,-0.010033791776403664,-0.010921131441617013
