,Dengue,Meningitis,West Nile Virus,Cholera,Anthrax,Salmonella,Ebola,Swine Flu H1N1,Whooping Cough,Avian Influenza,Influenza,E. coli,Waterborne Illness,Gastroenteritis,Rabies,Not Yet Classified,Epizootic Hemorrhagic Disease,Swine Flu H3N2,Hantavirus,Coronavirus,Measles,African Swine Fever,Listeriosis,Mumps,Legionnaires',Norovirus,Foot and Mouth,Eastern Equine Encephalitis,Malaria,Polio,Foodborne Illness,Diarrhea,Poisoning,Plague,Other Animal Disease,"Hand, Foot and Mouth Disease",Tuberculosis,Marburg Fever,Undiagnosed,Chicken Pox,Schmallenberg,Animal Die-off,HIV/AIDS,Chikungunya,Other Plant Disease,Environmental,Syphilis,Peste des petits ruminants,Hepatitis A,SARS,Pests,Typhoid,Dysentery,Respiratory Illness,Equine Infectious Anemia,Algae,Botulism,Newcastle Disease,Encephalitis,Pneumonia,Scabies,MRSA,Fever,Other Human Disease
Dengue,1.0,0.3082646612222647,0.09254998836704499,0.10458056998974798,0.10162639101607748,0.1434695334083991,-0.04140059017945069,0.4152028168201341,0.37068217637603323,0.13758522247943422,0.46075906746616696,0.2627181657399074,0.19696285426660168,0.19620240813606735,0.2910580008018975,0.11595673433630058,0.13934192956826338,0.223013636271497,0.16204687701603407,0.05002808686933961,0.14112153368184074,0.12489142367973936,0.16909593938578515,0.14276474322979923,0.14180829507291723,0.12221926294030788,0.15024292482101348,0.13934192956826338,0.3166209811419155,0.07581549630807248,0.14479403178745676,0.3198539026972596,0.31380281233092,0.18597979041339502,0.10737192100406433,0.3031677947167672,0.2776282184625736,-0.053244477152100636,0.1272012963070054,0.24795830326340332,0.005521970481303002,0.0805362103571999,0.15516430584257807,0.21779570600647905,0.350920614734961,0.04414485815553383,0.2410586573986356,-0.015218749489958503,0.17989680737846128,0.05002808686933961,0.32627337969616776,0.2190440804103985,-0.04456583871738256,0.38317146975417626,0.07858178970443258,0.21772353393738733,0.14745643343522583,0.1785559028541119,0.1665411139489861,0.3411241236811075,0.3094420389115856,0.05784397018151978,0.28583224748259417,0.2974479317960793
Meningitis,0.3082646612222647,1.0,0.2034052251421478,0.20087761824331152,0.44003149237023337,0.4240895990465843,0.1085328778527836,0.4789197441839099,0.43161257431595634,0.1533867004180212,0.3908343789972883,0.46332548244272875,0.2606134823083976,0.3938354900302527,0.29821706925431096,0.4252637091292785,0.22062591515618987,0.3494510380322023,0.5102318595962454,0.2196459137203615,0.3278575353935949,0.22447619490290052,0.17913012412025853,0.291198547085766,0.3376832974613356,0.3730023725706091,0.11840688961046551,0.22062591515618987,0.27148548469512174,-0.020443767370156747,0.4377874450162599,0.2193007324095895,0.5388038945117686,0.38376877945362253,0.1374886925271327,0.14543628028361003,0.37654139173597384,-0.03506637062085137,0.28855764592728295,0.28906785996861867,0.11012440772339718,0.16074686401883614,0.14241913333948514,0.09701521581747959,0.39998537465049533,0.05251279652134982,0.282720315548135,0.059514845922434646,0.252721238388596,0.21601288266164145,0.4546195420161724,0.27766542514144443,0.2008752884410278,0.4905900379189752,0.3098356919454689,0.284865017821147,0.23536001149936045,0.17875396494188528,0.23024213638930097,0.6338949671028016,0.35456141242295164,0.1611003309129048,0.40446291017157415,0.5979990846540133
West Nile Virus,0.09254998836704499,0.2034052251421478,1.0,0.01918841995874883,0.2565086689973154,0.2923775982131107,-0.030062668018816914,0.2213625329329803,0.07435117066361732,0.11971863048618177,0.0480511280222743,0.2283695273005565,0.0692462371403668,0.17196061545579439,0.23022152659574255,0.18291392332215828,0.2246338565906554,0.23609980691562318,0.17271068688636237,0.026975416873861482,0.10607197410542309,0.17762665116775128,0.10902601921378118,0.020815620051054775,0.3307261993079989,0.25104079991372363,0.06949142958653588,0.2246338565906554,0.057913642280717895,-0.09234743263202776,0.2098399490773299,0.10555363335041329,0.07006795323802734,0.43343695630922363,0.1446857133867609,0.10610813299568965,0.16901217468830818,-0.03421575299062963,-0.050364054372956074,0.07428504235194172,0.08959243786319461,0.05068957401860249,0.22774698559594644,-0.04377111642198543,0.14591007568297978,0.1424752687009546,0.30865725338210087,0.0030490455324911803,0.31782721029072447,0.026975416873861482,0.27425483856629745,0.08459074680228026,0.11830860709345593,0.08610460139911609,0.21829596640870016,0.3244896749102494,0.21043270933617225,0.29750188839539526,0.25417084371259596,0.21934895327973652,0.2284894807020733,0.191219760494715,0.09090581068695944,0.1594250959793008
Cholera,0.10458056998974798,0.20087761824331152,0.01918841995874883,1.0,0.0647276093686595,0.05399780214026722,0.24204665519893576,0.27318576503036335,0.11939249865385698,0.02985024873252424,0.11329659665361515,0.13324781456513776,0.04218865575779598,0.06757098819652015,0.14281085390853537,0.10771382848663749,0.13767283536341074,0.1113239945576361,0.05407460592774393,0.05837036359824058,0.3012086206732543,0.010378930029035272,0.061872639273931676,0.07789297464926025,0.054387077453990344,0.09719574581130645,0.11350659291888045,0.13767283536341074,0.19646862301978216,0.21800673027423947,0.016230388228041185,0.2652443971761328,0.09328304447949227,0.2541026265583914,0.1935602655134159,0.10539434304990068,0.2723149883328361,0.11749664397394537,0.2530732336137738,0.16785501431399014,-0.06879315909087212,0.04359247772142094,0.1701135105503132,0.011540917012349751,0.2020325248171486,0.08462152575326481,0.11328292265974088,0.16329776661622236,-0.0018572446687738647,0.05837036359824058,0.18792735865358612,0.18881561410958383,0.09816187135627837,0.0950838190151546,0.02295042302971559,0.16258588124412265,0.02487718569139333,0.16213051095182565,0.1597060841226096,0.1566227787301383,0.1457620165200578,0.07427810823251377,0.25558138864710855,0.22372884257617867
Anthrax,0.10162639101607748,0.44003149237023337,0.2565086689973154,0.0647276093686595,1.0,0.2625717547661331,0.056657813250464054,0.1980876953864718,0.190025904084655,0.11757662496869443,0.21517554726897112,0.3441961110770972,0.1652775107491798,0.28505084451192125,0.1677427676862212,0.24261196824066653,0.21567007896729512,0.22056675360939917,0.3610564496708265,0.24515730387195683,0.37033602319040676,0.26533918926926114,0.09845779875710052,0.12418127695160942,0.40372858375243714,0.4058383795875642,0.07396358696376965,0.21567007896729512,0.11415869906752765,-0.014835169076683584,0.11031095314354326,0.16510163469210015,0.17206806694419796,0.33003377733743183,0.24889876387560383,0.10801485834535424,0.3436899228372262,-0.03420973666377785,0.2580986690997287,0.06274863510885854,0.17236938266606788,0.24835720507993495,0.22639377407772424,0.02599339885257817,0.2876478463536786,0.06512163037280083,0.21893464893326456,0.06741431438503495,0.30068527082706176,0.24515730387195683,0.19441983570348517,0.18699261564206807,0.23649031368180345,0.18190308563697438,0.33248162244236734,0.22590664617069048,0.21115209739033272,0.28428988861925314,0.15449961821007469,0.27556188722085423,0.2011849247757379,0.17751798394488932,0.1348226239196067,0.3503955510602897
Salmonella,0.1434695334083991,0.4240895990465843,0.2923775982131107,0.05399780214026722,0.2625717547661331,1.0,-0.04370252662355696,0.4115059639044521,0.31549919309267255,0.10038780887768062,0.190210922746601,0.4179714154568882,0.1638944391328595,0.4130263238243004,0.1268363936306457,0.3084110162877965,0.22062825467181185,0.34733182503561616,0.41920222652313843,0.11902005654248696,0.3171428752889722,0.23795130521055002,0.27488011386692035,0.21773091663089267,0.4343652833548789,0.512549212041882,-0.04259206568445703,0.22062825467181185,0.1390628155193204,-0.0946442312183554,0.38608747900284823,0.12125543569617524,0.38631763769984967,0.4058217428478075,0.251818096740741,0.09220274304580257,0.3446334224971391,-0.03506674246439394,0.048583717778701664,0.20028245786873797,0.5196479873841311,0.4530821745723243,0.20695895685119856,0.032951631835331154,0.3799216221303925,0.4491639086621077,0.36513464184402755,-0.0946436182038357,0.183306125320588,0.11902005654248696,0.37542544852523435,0.2510928627568199,0.2866531056336788,0.27259256340606686,0.4485490513896054,0.4083035401720495,0.20161877861649102,0.12375896788904801,0.12600852649978966,0.3782441443647102,0.4414821441338346,0.2838799673256852,0.1514599539114154,0.39622625865613154
Ebola,-0.04140059017945069,0.1085328778527836,-0.030062668018816914,0.24204665519893576,0.056657813250464054,-0.04370252662355696,1.0,-0.00958066926463017,0.04635950357301105,0.014480636866270546,0.06825210148496685,0.020900283329166273,-0.012958173223576258,-0.0009168080162138962,0.0720059045733476,0.17573775576846315,-0.02040331513030568,-0.035573871980214215,-0.07332413114840558,0.25861242006059193,0.26003565925419,0.0373398848503509,-0.05506766330650582,0.08023155221200375,-0.06648494886999205,0.031187977225143184,0.1565141827561456,-0.02040331513030568,0.0666607440989067,-0.0550680199843021,0.04154151786016666,0.11845303053808208,0.028353481375011726,0.09206406496658957,-0.019892044123133824,0.03370135104968713,0.09885224715586521,0.33778821715728297,0.3382540967607644,-0.06286154836614243,-0.0828170034453154,-0.06997380067155227,0.057226593474870226,0.04937748213454475,-0.03123093385299721,-0.06286283223743928,0.04822230074316878,0.33845680780782234,-0.06996668945270534,0.25277265394976783,0.03939113457225676,0.016455419441513953,0.23318533002851427,0.06054268108178486,-0.04623148171069073,-0.050814460711839635,-0.03557439550648675,-0.05081293498114685,0.10479229620318933,0.02124699441716959,-0.06286219029195789,-0.04121355625706419,0.0671450182898409,0.11080911059042763
Swine Flu H1N1,0.4152028168201341,0.4789197441839099,0.2213625329329803,0.27318576503036335,0.1980876953864718,0.4115059639044521,-0.00958066926463017,1.0,0.3447715653973258,0.296547640519462,0.45796761335905817,0.3452292272487774,0.12346589558632129,0.3124632373145659,0.3750902152254759,0.23630231059410223,0.23964243320062095,0.4216920536615815,0.3036611265893867,0.046416255730591084,0.21472494077062276,0.13457831954013266,0.31393449325683903,0.1356917165355638,0.16611492424578755,0.29085032060857635,0.12853310416227487,0.23964243320062095,0.27771488278743134,0.1255553260540935,0.3246938978545183,0.3776509992627251,0.292596426126299,0.4597401709675632,0.18612813908371628,0.3576794506441438,0.33944791613508063,-0.029748715845594326,0.16338984725309433,0.36159950044656064,0.016691387128618132,0.2202861766400868,0.25688093672686435,-0.005155083643916927,0.4046528813782985,0.34502808767280296,0.4448705795276223,-0.08029049483007025,0.22439911670929422,0.046416255730591084,0.4655429184212154,0.39047229442303455,0.13152158595354888,0.4403939179437004,0.054763297897005236,0.3549971298070546,0.26801966495183055,0.2591734754761613,0.29546034287892115,0.5514025062226885,0.42993513414011253,0.21388658795170964,0.5847695976320354,0.5448573683201541
Whooping Cough,0.37068217637603323,0.43161257431595634,0.07435117066361732,0.11939249865385698,0.190025904084655,0.31549919309267255,0.04635950357301105,0.3447715653973258,1.0,-0.06497927089286035,0.4675140624270152,0.32100263460432177,0.20048078111204934,0.23839323038428928,0.15642062876860824,0.17865840513451187,0.23346166809402083,0.37295029459470486,0.5374369256016615,0.15060446250934903,0.15275643655516277,0.03836799703131802,0.21101216047809923,0.13931831723828,0.16068682215472072,0.42494352376299316,-0.018477099494985803,0.23346166809402083,0.10278598194334566,-0.08763077563437492,0.23678917648538714,0.21553288025500933,0.4786372090010039,0.32859901128250424,0.33600765568259017,0.11792722679074297,0.2779705454025168,-0.03246817900645323,0.028249501285015934,0.14644172647240652,0.2030662131214677,0.28235336980673315,0.1526444785050202,-0.029863481227276303,0.4867699446913728,0.24323417342569317,0.39849221956900155,-0.08763020804629115,0.11825837807755868,0.15060446250934903,0.2004120236836452,0.2839544679750269,0.1128462325942405,0.36986669325575405,0.16480199386735572,0.2529302098202408,0.2231657496518138,0.13741737535390408,0.15222839962871382,0.36133508723989916,0.16793474666309927,0.31042432924372,0.17239913275198276,0.2987311765094605
Avian Influenza,0.13758522247943422,0.1533867004180212,0.11971863048618177,0.02985024873252424,0.11757662496869443,0.10038780887768062,0.014480636866270546,0.296547640519462,-0.06497927089286035,1.0,0.23142875432821103,0.22697210369923804,0.0778235505589173,0.2041330924762839,0.30285629062382197,0.2267155961716224,-0.02688034882539232,-0.04686679991908165,-0.09660088127837624,0.07402953116725731,0.17233458744425986,0.08938246599113867,0.021028270391174338,0.05444583489007529,-0.08759060014758419,0.07579707870119971,0.22382501759001167,-0.02688034882539232,0.0723317249551427,0.13893021848299597,0.17946641466269894,0.12761674969285722,0.14861856590963018,0.18035160761064534,-0.05722387208900246,0.3393031019117283,0.15242902181103657,-0.02688034882539232,0.2014273036927508,0.2897705381225668,-0.03299378216611657,0.06773611715017502,0.19779408645484312,0.19127700903459105,0.09139937776282632,0.183177724271953,0.2006981734147814,0.039492782783943504,0.0030872886914314014,0.07402953116725731,0.3468127803581546,0.2225116598062411,0.17172507980968202,0.19793903940924598,-0.06090766854119034,0.2568006447326267,-0.04686748963880295,0.04680173073975729,0.3296737199957385,0.21496295853490938,0.10198454692811414,-0.054296802330877796,0.22887159031126145,0.22061198946215757
