,PC1 (4.93),PC2 (2.06),PC3 (1.28),PC4 (1.05),PC5 (0.94),PC6 (0.88),PC7 (0.80),PC8 (0.72),PC9 (0.67),PC10 (0.64),PC11 (0.56),PC12 (0.55),PC13 (0.46),PC14 (0.40),PC15 (0.38),PC16 (0.35),PC17 (0.24)
Revenue,0.2896788709673635,-0.31928904185780566,0.19014251260000917,-0.21196360388251934,-0.036835082848848816,-0.2859450634267704,0.0986806487084508,-0.014087390050114897,-0.0005165760297211581,0.1995356648964892,0.06947576124141115,-0.052410890996017645,0.1803209832470481,-0.2468940363005871,-0.07885764119332563,0.24237424111407782,0.658919975095304
No of Users,0.2878419953683815,-0.2846371629033275,-0.19869360048143506,0.22137987622298558,0.009154878090651348,0.2804335729473336,-0.023322222300162246,-0.06812166282345669,0.03503666444636534,0.21411973381995725,-0.049276191476143566,0.04534064813129536,-0.14663897207576074,0.08898603638337765,0.35610755501316427,-0.6165984615826618,0.27521388963489113
No of Payers,0.28416913814877776,-0.33115019394969103,0.1559398822778419,-0.1962137505310948,0.009098221193378987,-0.14867804059341494,0.13726540635915047,-0.07654508328101468,0.017515435897110458,0.3971338276290193,0.11060019161822218,-0.22678287047332452,0.11733873630086039,-0.046550308420031494,0.1832385754175439,-0.00702319097561821,-0.654702632495298
Total activation,0.22845432072525584,-0.27959003252877,-0.28487239204669546,0.2640047858069267,0.04055503393469052,0.43819507610866426,-0.09469194728262591,-0.11652582186042322,0.10379390134071095,0.1618154964040685,-0.1705340805947882,0.27700872754156625,0.08928683340906204,-0.07903116056918724,-0.3932556966277304,0.4177001109474452,-0.12832824179456737
Product stage,0.22067470757248217,-0.31421801914280456,-0.14945223973366403,0.059683730688627604,0.01369313616347804,0.1735063149555258,-0.12733371277399738,0.2310827572869096,-0.2986391057795436,-0.6009127587269074,0.2426503563486806,-0.44326754869848634,0.0948959945497817,-0.06975570888204165,0.03362092122098349,0.06780001055610274,-0.03900565390559523
Quality assurance team,0.174448729044615,0.21356340595496193,0.47680220457758027,0.4257477863107905,0.2831210149633702,0.08518185300766408,-0.12973744923816427,-0.05699182747536913,0.02313329473524875,-0.1165832271052349,-0.10607264182131813,0.12600637237754134,0.28265995877266686,-0.25046507484580804,0.4453422600235072,0.15855816641206097,-0.022534979555747858
Customer service team,0.26825691843068755,0.088780539597555,0.4432981458155248,0.27568785079494385,0.22059008346806946,-0.05690914396313988,0.022664632601443302,0.028293987651000545,-0.16531520970925548,0.048419996037773805,0.15148880186224417,-0.07478993908010051,-0.22008654255626028,0.10800503841915582,-0.6206878183146021,-0.2999967816070178,-0.029252614796330637
Team size,0.33812733634925757,0.11535097185287436,-0.054214864682652485,0.1813450212335016,0.006631597468755853,-0.15408982201724328,0.1397685179281501,0.09311992062199753,0.22483350247156075,-0.013686316676689292,0.060989389002532084,-0.11388251405361231,-0.3052819295290061,0.632278752454501,0.21121550793933008,0.416640037946005,0.07709629615277608
More than 10 people,0.25529289293417284,0.24340449234885575,-0.14148514863046427,-0.11245538247845777,0.08706589827067336,0.004393351347909476,0.15848296110946047,-0.21845922597782885,0.6104602523787206,-0.23863401369724394,-0.26377013570916485,-0.38137234216695226,0.14924370448739044,-0.17744948213872797,-0.17393698073490624,-0.18392543583856277,-0.0015413274304463109
Product manager,0.2592611534564853,0.23898270353680018,-0.19964485244358746,-0.055287935974516395,-0.13321374341335399,-0.20233984432420254,-0.4188629912324918,-0.2760988213152305,-0.11911205384956365,0.01165348183846003,0.2523565225235036,0.15521350775985598,0.5422368675402013,0.32166363157020944,-0.07482289476098067,-0.13113420887113444,-0.003244839282358603
